subject,trialtype,duration,repduration,movdist,force,stoplatency,error,abserror
1,motor,2047,2924,0.21988,0.48422,44,877,877
1,motor,3239,2964,0.34139,0.87967,235,-275,275
1,motor,3531,3839,0.40567,1.0004,28,308,308
2,audiomotor,3336,3492,1.6368,10.371,332,156,156
2,audiomotor,3789,3799,2.0082,12.937,285,10,10
2,audiomotor,3792,4237,1.9329,12.58,289,445,445
2,audiomotor,4267,4572,2.4232,15.101,263,305,305
2,audiomotor,2826,2359,1.5161,9.5691,322,-467,467
2,audiomotor,3311,3265,1.6732,10.395,306,-46,46
2,audiomotor,4313,3851,2.3632,15.964,308,-462,462
2,audiomotor,1297,1564,0.53216,4.0413,293,267,267
2,audiomotor,2310,2348,1.1997,7.8364,306,38,38
2,audiomotor,2801,2643,1.5453,10.196,298,-158,158
2,audiomotor,1752,2164,0.95479,7.1242,248,412,412
2,audiomotor,2296,3082,1.1869,7.88,292,786,786
2,motor,3308,3125,1.5477,8.9467,303,-183,183
2,motor,3772,3989,2.0322,10.906,268,217,217
2,motor,2761,3294,1.342,7.7061,257,533,533
2,motor,3345,2986,1.3683,8.1227,341,-359,359
2,motor,1377,1223,0.44983,2.6915,373,-154,154
2,motor,3795,3290,2.0201,10.704,292,-505,505
2,motor,4276,4122,2.1229,12.077,273,-154,154
2,motor,1881,2334,0.71333,4.3107,377,453,453
2,motor,2335,2456,1.0026,5.3035,332,121,121
2,motor,4239,4286,2.3365,12.554,236,47,47
2,motor,1311,1987,0.50091,2.8238,306,676,676
2,motor,2273,2983,1.1209,5.9092,268,710,710
2,motor,2855,4621,1.5955,9.9856,351,1766,1766
2,auditory,4000,4487,0.0011486,2.2452,0,487,487
2,auditory,1000,1154,0.00025767,1.3514,0,154,154
2,auditory,3500,3667,0.0040662,3.184,0,167,167
2,auditory,4000,4179,0.0016446,3.69,0,179,179
2,auditory,3000,3883,0.00069609,3.2118,0,883,883
2,auditory,3500,3773,0.00088134,2.0287,0,273,273
2,auditory,2500,3454,0.00073541,2.8419,0,954,954
2,auditory,3000,3118,0.00097072,2.9753,0,118,118
2,auditory,1500,1838,0.0012528,1.9448,0,338,338
2,auditory,2000,2536,0.0011184,1.6,0,536,536
2,auditory,1000,1424,0.00049584,1.119,0,424,424
2,auditory,1500,2114,0.00083735,1.4198,0,614,614
2,auditory,2000,2825,0.00082784,1.6185,0,825,825
2,auditory,2500,2988,0.00077607,1.2604,0,488,488
2,motor,2290,3001,1.0244,6.3637,287,711,711
2,motor,2754,2932,1.4556,8.9367,249,178,178
2,motor,2815,2832,1.3717,7.6208,310,17,17
2,motor,3327,3522,1.886,11.063,323,195,195
2,motor,1893,2426,0.90334,5.5,389,533,533
2,motor,2339,2876,1.2919,7.9874,334,537,537
2,motor,3274,4582,1.8188,10.833,271,1308,1308
2,motor,3776,5201,2.197,13.192,272,1425,1425
2,motor,4318,5237,2.7417,15.478,314,919,919
2,motor,1310,1958,0.66102,4.5741,307,648,648
2,motor,3717,3569,2.069,12.102,214,-148,148
2,motor,4264,4253,2.5198,14.062,260,-11,11
2,motor,1300,1856,0.48095,2.9078,296,556,556
2,motor,1824,1971,0.88578,5.4517,320,147,147
2,auditory,3500,3969,0.0015208,2.7978,0,469,469
2,auditory,4000,3553,0.0019802,5.9194,0,-447,447
2,auditory,2000,1818,0.00059079,1.8282,0,-182,182
2,auditory,2500,2946,0.00084715,3.1639,0,446,446
2,auditory,4000,3563,0.0010568,3.8471,0,-437,437
2,auditory,1000,1030,0.00061072,1.2985,0,30,30
2,auditory,1000,1402,0.00043923,0.61045,0,402,402
2,auditory,1500,1503,0.00052782,0.60678,0,3,3
2,auditory,3000,3188,0.0010801,1.5911,0,188,188
2,auditory,3500,4408,0.0015716,4.3937,0,908,908
2,auditory,2500,3505,0.0010722,0.99348,0,1005,1005
2,auditory,3000,3846,0.0015008,3.5409,0,846,846
2,auditory,1500,2576,0.00061029,1.6882,0,1076,1076
2,auditory,2000,3097,0.00074623,0.69709,0,1097,1097
2,audiomotor,2305,2513,0.9662,5.3506,301,208,208
2,audiomotor,2843,2869,1.3889,7.5439,339,26,26
2,audiomotor,3802,3962,2.0438,11.282,298,160,160
2,audiomotor,4385,4069,2.1307,11.989,381,-316,316
2,audiomotor,1785,2063,0.91081,6.165,281,278,278
2,audiomotor,2284,2530,1.1232,6.9331,280,246,246
2,audiomotor,1330,1160,0.57274,3.7003,325,-170,170
2,audiomotor,1795,2150,0.97449,6.7702,291,355,355
2,audiomotor,3297,4310,1.4643,8.2626,293,1013,1013
2,audiomotor,3245,4074,1.3944,7.3215,242,829,829
2,audiomotor,3753,4041,1.6107,9.0307,249,288,288
2,audiomotor,4281,4819,1.7013,10.798,278,538,538
2,audiomotor,1328,1232,0.49329,3.8284,323,-96,96
2,auditory,3500,4042,0.002109,2.2044,0,542,542
2,auditory,4000,4302,0.0019861,0.67581,0,302,302
2,auditory,2500,2995,0.00095526,1.3213,0,495,495
2,auditory,3000,3899,0.001271,2.4156,0,899,899
2,auditory,2000,1726,0.00050781,1.9181,0,-274,274
2,auditory,2500,3476,0.001184,4.3469,0,976,976
2,auditory,1500,1650,0.00044472,0.65887,0,150,150
2,auditory,2000,2559,0.0007176,2.0837,0,559,559
2,auditory,1000,1113,0.00032108,0.19066,0,113,113
2,auditory,1500,1738,0.0013551,0.75389,0,238,238
2,auditory,4000,5266,0.001037,2.6859,0,1266,1266
